Felidae,Canidae
Hippodamia variegata,Hippodamia tredecimpunctata
Anatis ocellata,Calvia quatuordecimguttata
Coccinella undecimpunctata,Coccinella magnifica
Halyzia sedecimguttata,Vibidia duodecimguttata
Myrrha octodecimguttata,Sospita vigintiguttata
Chilocorus renipustulatus,Chilocorus bipustulatus
Exochomus quadripustulatus,Platynaspis luteorubra
Subcoccinella vigintiquatuorpunctata,Cynegetis impunctata
Anisosticta novemdecimpunctata,Coccinula quatuordecimpustulata
Harmonia quadripunctata,Harmonia conformis
Oenopia conglobata,Oenopia lyncea
Coleomegilla maculata,Hippodamia convergens
Coccinella hieroglyphica,Coccinella trifasciata
Cheilomenes sexmaculata,Coccinella transversalis
Mantis religiosa,Tenodera sinensis
Empusa pennata,Empusa fasciata
Ameles spallanzania,Ameles decolor
Sphodromantis viridis,Hierodula membranacea
Hierodula patellifera,Tropidomantis gressitti
Gryllus campestris,Gryllus bimaculatus
Tettigonia viridissima,Tettigonia cantans
Phaneroptera falcata,Phaneroptera nana
Conocephalus fuscus,Conocephalus dorsalis
Meconema thalassinum,Meconema meridionale
Caelifera,Ensifera
Tettigoniidae,Acridoidea
Forficula auricularia,Chelidurella acanthopygia
Calopteryx virgo,Calopteryx splendens
Aeshna cyanea,Aeshna mixta
Sympetrum striolatum,Sympetrum vulgatum
Libellula depressa,Libellula quadrimaculata
Anax imperator,Anax parthenope
Cordulegaster boltonii,Cordulegaster bidentata
Gomphus vulgatissimus,Onychogomphus forcipatus
Orthetrum cancellatum,Orthetrum albistylum
Leucorrhinia dubia,Leucorrhinia rubicunda
Somatochlora metallica,Cordulia aenea
Pyrrhosoma nymphula,Ceriagrion tenellum
Ischnura elegans,Ischnura pumilio
Coenagrion puella,Coenagrion pulchellum
Enallagma cyathigerum,Coenagrion hastulatum
Lestes sponsa,Lestes dryas
Platycnemis pennipes,Platycnemis latipes
Erythromma najas,Erythromma viridulum
Anisoptera,Zygoptera
Odonata,Ascalaphinae
Bacillus rossius,Bacillus atticus
Clonopsis gallica,Pijnackeria hispanica
Carausius morosus,Medauroidea extradentata
Cicada orni,Lyristes plebejus
Tibicina haematodes,Tibicina quadrisignata
Cicadetta montana,Cicadetta brevipennis
Cicadellidae,Fulgoroidea
Auchenorrhyncha,Sternorrhyncha
Erthesina fullo,Halyomorpha halys
Halyomorpha halys,Rhaphigaster nebulosa
Dindymus sanguineus,Antilochus nigripes
Pseudococcidae,Icerya
Icerya seychellarum,Icerya aegyptiaca
Chrysopa perla,Chrysoperla carnea
Panorpa communis,Panorpa germanica
Asilus crabroniformis,Philonicus albiceps
Dioctria rufipes,Dioctria atricapilla
Laphria flava,Laphria gilva
Tolmerus atricapillus,Tolmerus cingulatus
Bibio marci,Bibio leucopterus
Brachycera,Nematocera
Cyclorrhapha,Orthorrhapha
Acalyptratae,Calyptratae
Nephila pilipes,Trichonephila clavata
Hasarius adansoni,Chinattus tibialis
Menemerus bivittatus,Menemerus nigli
Menemerus bivittatus,Menemerus semilimbatus
Rhene flavicomans,Irura bidenticulata
Rhene flavicomans,Rhene atrata
Thiania bhamoensis,Thiania suboppressa
Carrhotus sannio,Carrhotus viduus
Telamonia caprina,Telamonia festiva
Epocilla calcarata,Telamonia festiva
Pancorius crassipes,Epocilla calcarata
Epocilla calcarata,Epocilla blairei
Portia orientalis,Portia labiata
Phintelloides versicolor,Phintella bifurcilinea
Siler collingwoodi,Siler semiglaucus
Phidippus audax,Phidippus regius
Salticus scenicus,Salticus cingulatus
Marpissa muscosa,Marpissa radiata
Evarcha arcuata,Evarcha falcata

Heliophanus flavipes,Heliophanus cupreus
